date,price,dix,gex,vix
2011-05-02,1361.22,0.378842099,1897312571,15.99
2011-05-03,1356.62,0.38341108,1859730656,16.7
2011-05-04,1347.32,0.3921218,1717763845,17.08
2011-05-05,1335.1,0.40545702,1361864280,18.2
2011-05-06,1340.2,0.418648665,1490328626,18.4
2011-05-09,1346.29,0.410320503,1677058729,17.16
2011-05-10,1357.16,0.392851427,2034952131,15.91
2011-05-11,1342.08,0.400814098,1536770885,16.95
2011-05-12,1348.65,0.387533995,1674923266,16.03
2011-05-13,1337.77,0.405595192,1218149462,17.07
2011-05-16,1329.47,0.389702744,779596412.3,18.24
2011-05-17,1328.98,0.394746832,841850592,17.55
2011-05-18,1340.68,0.402330225,1366160182,16.23
2011-05-19,1343.6,0.394634203,1543685365,15.52
2011-05-20,1333.27,0.413201616,1288076424,17.43
2011-05-23,1317.37,0.405846557,539696742.8,18.27
2011-05-24,1316.28,0.389380348,510244377.5,17.82
2011-05-25,1320.47,0.39729069,740695062.9,17.07
2011-05-26,1325.69,0.397655976,794680724.9,16.09
2011-05-27,1331.1,0.40093531,918664965.2,15.98
2011-05-31,1345.2,0.402477407,1501018827,15.45
2011-06-01,1314.55,0.441581815,765472910.7,18.3
2011-06-02,1312.94,0.413069954,737054457.1,18.09
2011-06-03,1300.16,0.436109719,405956517.9,17.95
2011-06-06,1286.17,0.400147128,24119666.1,18.49
2011-06-07,1284.94,0.406773926,-172403089.1,18.07
2011-06-08,1279.56,0.40458124,-285916518,18.79
2011-06-09,1289,0.414450695,-110999211.3,17.77
2011-06-10,1270.98,0.436125527,-459227978.2,18.86
2011-06-13,1271.83,0.40885086,-449818392.3,19.61
2011-06-14,1287.87,0.426970319,97844618.18,18.26
2011-06-15,1265.42,0.430259748,-618829105.2,21.32
2011-06-16,1267.64,0.387974963,-643026779.9,22.73
2011-06-17,1271.5,0.408967692,-444255510.6,21.85
2011-06-20,1278.36,0.371377592,130641736.1,19.99
2011-06-21,1295.52,0.423486175,594237200.5,18.86
2011-06-22,1287.14,0.447209893,421966023.2,18.52
2011-06-23,1283.5,0.446167418,673524372.9,19.29
2011-06-24,1268.45,0.447477568,197912878.2,21.1
2011-06-27,1280.1,0.422968726,533994908.8,20.56
2011-06-28,1296.67,0.434609154,1000303670,19.17
2011-06-29,1307.41,0.41914064,1263240917,17.27
2011-06-30,1320.64,0.41193311,1731119950,16.52
2011-07-01,1339.67,0.414437072,2019895207,15.87
2011-07-05,1337.88,0.418297491,2204693723,16.06
2011-07-06,1339.22,0.429512982,2236776777,16.34
2011-07-07,1353.22,0.416198359,2729301387,15.95
2011-07-08,1343.8,0.4396265,2490173790,15.95
2011-07-11,1319.49,0.427681437,1737340523,18.39
2011-07-12,1313.64,0.428388198,1533836324,19.87
2011-07-13,1317.72,0.42802034,1957650369,19.91
2011-07-14,1308.87,0.433802921,1650214263,20.8
2011-07-15,1316.14,0.426378352,4176336442,19.53
2011-07-18,1305.44,0.416247547,887183380,20.95
2011-07-19,1326.73,0.410345173,1304589933,19.21
2011-07-20,1325.84,0.439684736,1549113896,19.09
2011-07-21,1343.8,0.42232637,1763114024,17.56
2011-07-22,1345.02,0.445173324,1635847484,17.52
2011-07-25,1337.43,0.444488726,1594831932,19.35
2011-07-26,1331.94,0.421529934,1541061095,20.23
2011-07-27,1304.89,0.418012198,839162001.8,22.98
2011-07-28,1300.67,0.408520001,727984032.6,23.74
2011-07-29,1292.28,0.40360837,634859901,25.25
2011-08-01,1286.94,0.440309934,645133919.4,23.66
2011-08-02,1254.05,0.441316163,54369376.39,24.79
2011-08-03,1260.34,0.431168961,224930307.5,23.38
2011-08-04,1200.07,0.429702315,-660360325.5,31.66
2011-08-05,1199.38,0.421318722,-463212353.1,32
